product_title,positive_rate
"Pheromones Perfumes for Women, Amber Vanilla Perfume, Long Lasting Eau De Parfum Cologne, Enhanced Scents Pheromone Perfume for Men&Women, 0.41 fl.oz Travel Size Perfumes Spray (Velvet Opium)",0.79
"Pheromones Perfumes for women,Enhanced Scents,Long Lasting Roll on Oil 0.34 fl.oz (10ml)",0.95
Portable Mini Refillable Perfume Atomizer Bottle Atomizer Travel Size Perfume Spray Bottles 6 Pcs Pack of 5ml,0.5789473684210527
Premium Pheromone Perfume for Women Alluring Fragrance with Pure Pheromones Elegant French Blend Long-Lasting Scent Irresistible Attraction Oil with Jojoba Androstenol Androstenone 10ml,1.0
"Pretty Privates Pheromone Perfume for Women with 10mL Roll-On Oil, Long-Lasting Scent, Enhanced Elegance, Alluring Fragrance Made in USA – Women's Body Oil, Feromonas Perfume Women",0.9444444444444444
Pure Instinct Roll-On (3-Pack) - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex for Men and Women - TSA Ready,0.6767676767676768
Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - TSA Ready (The Original - Unisex),0.7
"Ralph Lauren - Romance - Eau de Parfum - Women's Perfume - Floral & Woody - With Rose, Jasmine, and Berries - Medium Intensity",0.79
Rasasi Aiyara for Men - 3.38 oz EDP Spray,0.0
"Refillable Perfume Atomizer Travel,5ML Portable Mini Pocket Perfume Atomizer Bottle Spray, Women,Mens Mister Spray Bottle, Travel Cologne Dispenser（8P-multicolour）",1.0
Roll On Pheromone Perfume for Women Fruity and Flirtatious Rollerball Perfume ldeal for Daily Use Women's Perfume (Fruity),0.9310344827586207
"Roll-On Pheromone Perfume for Women, rollerball perfume, travel perfume, clean perfume Long-Lasting Pheromone-Infused Essential Oil - 0.34 fl.oz (10mL)",0.76
"Rotating Makeup Organizer Countertop 3 Tier Lazy Susan Trays Spinning Skincare Perfume Storage for Bathroom Counter Vanity, Black",0.7380952380952381
"Rotating Makeup Organizer, DIY 8 Adjustable Layers Spinning Skincare Organizer, Cosmetic Display Case with Brush Holder Perfume Tray, Multi-Function Storage Carousel for Vanity Bathroom Countertop",0.74
"SINIDE Spray Bottles 30 ml/1 oz, 4 Pack Clear Empty Fine Mist Plastic Mini Travel Bottle Set, Portable Refillable Makeup Sprayer Containers for Perfume, Liquids, Aromatherapy, Small Size",0.78
"SURE, Antiperspirant Deodorant, Solid, Regular, 2.6 oz., (6 Pack)",0.5154639175257731
"Sandalwood Perfume Oil Roll On for Women and Men, Alcohol Free Eau de Parfum,Travel Size Essential Oil Body Fragrance, Long Lasting, Leather Woody Scent, 10 ml",0.59
Shalimar By Guerlain For Women. Body Lotion 6.8 Ounces,0.81
Shea Moisture Deodorant Stick 72h Odor Control Coconut & Hibiscus Fresh Aluminum Free 2.6 oz,0.7758620689655172
Shea Moisture Deodorant Stick for 72h Odor Control Fresh Aluminum Free 2.6 oz,0.7560975609756098
SheaMoisture Antiperspirant Deodorant Stick Fresh Coconut & Hibiscus 2 Count for 48HR Sweat & Odor Protection with No Parabens & No Mineral Oil 2.6 oz,0.8
Sisley Eau Du Soir Eau De Parfum Spray 3oz/ 100 Ml for Women By 3fl Oz,0.6551724137931034
"Stupell Industries Fashioner Perfume Black Gold Textured Watercolor, Design by Artist Amanda Greenwood Wall Art, 13 x 19, Wood Plaque",1.0
"Super Fresh Man Parts Ball Deodorant for Men | POWDER LOTION | Mens Hygiene Cream for Groin, Butt, & Body | Fresh Control Odor, Anti Chafing, Stop Itch, Absorb Sweat | Aluminum Free | 4 oz Tube",0.6
Swiss Arabian Layali Rouge - Luxury Products From Dubai - Long Lasting Personal Perfume Oil Fragrance - A Seductive Signature Aroma - 0.5 Oz,0.85
"TIARA Whole Body All Natural Deodorant for Women, Aluminum Free Deodorant for Men, Safe for Kids Use All Over Body, Paraben Free, No Chemicals Vegan & Non Toxic, Travel Size (Melon & Cucumber)",0.6909090909090909
Tanlade 300 Pcs Mini Spray Bottles Clear Refillable Glass Perfume Bottles Fragrance Scent Sample Perfume Atomizer Glass Empty Travel Sprayer Pocket Dispenser Refillable Container (5ml),0.5
"Tekson Travel Perfume Atomizer Refillable 8ml (5 PCS), Travel Cologne Sprayer Mini, Perfume Bottle Empty Small (5 Colors)",0.85
The Art of Making Perfume: How To Blend Essential Oils For Lasting Fragrances,0.5
The Little Book of Perfumes: The Hundred Classics,0.7037037037037037
"The Natural Deodorant Co, Gentle Deodorant Cream Coconut & Shea 55g, Aluminium Free, Plastic Free, Sensitive Skin",0.5
"The Natural Deodorant Co, Gentle Deodorant Cream Tangerine 55g, Aluminium Free, Plastic Free, Sensitive Skin",0.5
The Perfume Collector: A Novel,0.88
"The Perfume Language: Notes, Codes, Aesthetics",1.0
The Perfume Of The Lady In Black,0.5714285714285714
The Perfume Thief: A Novel,0.8695652173913043
The Potent Perfume (The Lady Mortician's Visions series),1.0
The Scent of a Woman (TV Series),0.84
